22, 1, 7, 18, 3, 3, 12, 19, 16, 6, 29, 0, 4, 25, 2, 24, 5, 0, 0, 15, 6, 6, 17, 19, 26, 20, 4, 27, 20, 20, 7, 3, 27, 27, 32, 29, 8, 19, 11, 27, 13, 17, 11, 6, 30, 27, 2, 23, 3, 11 
10, 7, 14, 21, 12, 20, 30, 5, 19, 12, 22, 0, 27, 5, 25, 19, 2, 0, 0, 5, 11, 19, 3, 26, 12, 23, 18, 17, 12, 30, 19, 27, 5, 5, 15, 16, 19, 12, 28, 7, 1, 27, 19, 8, 5, 4, 14, 9, 29, 12 
31.9, 10.5, 6.3, 7.3, 20.5, 3.1, 12.9, 12.8, 25.6, 12.4, 2.4, 0, 7.4, 17.4, 6.9, 20.9, 16.0, 0, 0, 5.7, 12.7, 14.2, 12.8, 9.5, 3.6, 6.1, 17.2, 15.0, 5.0, 9.4, 10.4, 14.0, 20.4, 7.3, 8.1, 9.7, 29.5, 25.3, 33.5, 5.4, 8.7, 16.6, 16.0, 42.3, 19.0, 17.4, 11.0, 5.0, 15.5, 5.0 
13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63, 13.63 
29, 26, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 25, 2, 16, 0, 0, 0, 0, 0, 7, 2, 25, 14, 0, 0, 0, 0, 0, 20, 24, 22, 25, 1, 21, 25, 23, 30, 8, 21, 25, 11, 9, 8, 31, 10 
32, 20, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 31, 7, 28, 0, 0, 0, 0, 0, 14, 15, 17, 25, 0, 0, 0, 0, 0, 30, 26, 7, 15, 29, 4, 12, 4, 5, 15, 7, 25, 20, 8, 17, 32, 15 
25.5, 20.8, 0, 0, 0, 0, 0, 0, 27.1, 0, 0, 0, 0, 0, 0, 0, 18.7, 19.7, 4.0, 0, 0, 0, 0, 0, 10.6, 16.1, 17.9, 3.5, 0, 0, 0, 0, 0, 11.7, 12.8, 11.5, 16.8, 16.4, 15.8, 6.2, 32.3, 13.7, 10.6, 4.9, 20.6, 27.3, 19.8, 11.8, 25.3, 13.9 
18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59, 18.59 
19, 10, 31, 18, 29, 6, 24, 8, 1, 1, 1, 9, 28, 31, 19, 29, 10, 12, 13, 25, 25, 1, 27, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 3, 31, 24, 31, 20, 21, 21, 11, 19, 24, 3, 17, 29, 19, 0, 8 
19, 1, 13, 21, 28, 9, 23, 11, 27, 2, 27, 30, 1, 6, 24, 28, 15, 8, 27, 31, 1, 21, 12, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 21, 32, 27, 17, 27, 28, 12, 19, 24, 23, 3, 1, 5, 28, 0, 1 
13.1, 8.4, 25.0, 18.3, 38.4, 13.2, 17.2, 6.8, 10.9, 19.2, 36.5, 4.9, 34.2, 23.2, 9.8, 35.0, 7.7, 41.7, 16.4, 23.7, 31.0, 33.6, 14.4, 6.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.2, 8.5, 20.3, 20.7, 25.2, 13.8, 34.8, 23.5, 6.7, 23.4, 11.7, 3.8, 17.5, 22.3, 16.6, 0, 12.8 
