Week 1, @ CAR, W, 26-24, 22, 141, 6.4, 25, 0, 1, 1, 2, 2, 2, 0, 0, 0, 14.3, 13, 
Week 2, vs. NYJ, L, 31-30, 17, 87, 5.1, 22, 3, 3, 3, 26, 8.7, 15, 0, 0, 0, 29.3, 1, 
Week 3, vs. PIT, W, 17-29, 23, 113, 4.9, 36, 1, 0, 1, 0, 0, 0, 0, 0, 0, 17.3, 7, 
Week 4, @ ATL, L, 20-23, 19, 118, 6.2, 28, 1, 2, 3, 9, 4.5, 9, 0, 0, 0, 18.7, 9, 
Week 5, vs. LAC, L, 30-28, 17, 134, 7.9, 41, 2, 0, 1, 0, 0, 0, 0, 0, 0, 25.4, 4, 
Week 6, vs. NE, L, 38-15, 12, 56, 4.7, 18, 0, 1, 2, 14, 14, 14, 0, 0, 0, 7.0, 23, 
Week 7, @ BAL, L, 20-23, 16, 91, 5.7, 22, 1, 2, 3, 16, 8, 14, 0, 0, 0, 16.7, 10, 
Week 8, vs. CIN, W, 13-32, 23, 101, 4.4, 21, 2, 1, 1, 3, 3, 3, 0, 0, 0, 24.4, 6, 
Week 9, BYE Week, 
Week 10, @ MIA, L, 17-39, 11, 63, 5.7, 33, 1, 3, 4, 18, 6, 9, 0, 1, 1, 12.1, 14, 
Week 11, @ BUF, L, 23-31, 14, 19, 1.4, 12, 0, 3, 3, 48, 16, 26, 0, 0, 0, 6.7, 29, 
Week 12, vs. TB, W, 17-23, 26, 116, 4.5, 28, 1, 1, 1, 16, 16, 16, 0, 0, 0, 19.2, 3, 
Week 13, @ HOU, W, 27-14, 17, 80, 4.7, 21, 0, 0, 1, 0, 0, 0, 0, 0, 0, 8.0, 27, 
Week 14, @ CIN, L, 10-23, 14, 34, 2.4, 13, 0, 3, 3, 20, 6.7, 12, 0, 0, 0, 5.4, 30, 
Week 15, vs. BAL, W, 3-13, 21, 99, 4.7, 18, 0, 0, 2, 0, 0, 0, 0, 0, 0, 9.9, 29, 
Week 16, vs. NO, L, 17-10, 24, 92, 3.8, 19, 0, 1, 1, 10, 10, 10, 0, 0, 0, 10.2, 20, 
Week 17, @ WAS, W, 24-10, 14, 104, 7.4, 35, 0, 1, 1, 12, 12, 12, 0, 0, 0, 11.6, 14, 
Week 18, @ PIT, L, 14-28, 12, 77, 6.4, 15, 0, 5, 6, 45, 9, 19, 1, 0, 0, 18.2, 2, 
Totals,  ,  , 302, 1,525, 5.0, 41, 12, 27, 37, 239, 8.9, 26, 1, 1, 1, 254.4, 

Week 1, @ TEN, W, 21-20, 18, 164, 9.1, 68, 1, 6, 7, 30, 5, 7, 0, 1, 0, 27.4, 1, 
Week 2, vs. CAR, W, 16-19, 21, 72, 3.4, 16, 0, 3, 4, 16, 5.3, 9, 0, 0, 0, 8.8, 17, 
Week 3, vs. DAL, L, 23-16, 14, 81, 5.8, 36, 1, 4, 4, 45, 11.3, 21, 0, 0, 0, 18.6, 5, 
Week 4, vs. CHI, W, 12-20, 31, 146, 4.7, 29, 0, 2, 2, 16, 8, 15, 0, 0, 0, 16.2, 12, 
